"ClassName","LOC","NOM","FanIn","FanOut","WMC"
"FileNotesRepository","22","3","15","12","5"
"NoteManager","63","10","11","37","24"
"Note","89","9","28","34","19"
"NotesService","59","9","25","42","22"
