"ClassName","LOC","NOM","FanIn","FanOut","WMC"
"Note","89","9","28","34","19"
"NotesService","59","9","25","42","22"
"NoteManager","63","10","11","37","24"
"FileNotesRepository","22","3","15","12","5"
