"ClassName","LOC","NOM","FanIn","FanOut","WMC"
"NoteManager","63","10","11","37","24"
"Note","76","8","29","26","17"
"NotesPersistenceManager","26","6","14","14","11"
"FileNotesRepository","22","3","9","12","5"
"NotesCommandService","40","6","11","26","17"
"TagPolicy","27","3","7","16","8"
"NotesQueryService","15","4","7","10","7"
"NotesService","42","9","26","27","22"
