"ClassName","LOC","NOM","FanIn","FanOut","WMC"
"FileNotesRepository","22","3","15","12","5"
"NotesService","41","5","17","24","12"
"Note","70","6","26","25","14"
"NoteManager","72","11","12","43","26"
"SearchNotes","12","3","9","9","6"
"TagService","64","6","10","29","14"
