"ClassName","LOC","NOM","FanIn","FanOut","WMC"
"NoteManager","72","11","12","43","26"
"SearchNotes","12","3","9","9","6"
"NotesService","41","5","17","24","12"
"FileNotesRepository","22","3","15","12","5"
"TagService","39","6","10","22","14"
"Note","89","9","29","34","19"
