"ClassName","LOC","NOM","FanIn","FanOut","WMC"
"FileNotesRepository","22","3","15","12","5"
"NoteManager","72","11","12","43","26"
"TagService","29","3","7","16","8"
"Note","89","9","28","34","19"
"NotesService","41","5","17","24","12"
"SearchNotes","12","3","9","9","6"
